(0.0822, -0.0022, 0.9963, -0.0236)
(0.0848, 0.0004, 0.9960, -0.0293)
(0.0816, 0.0117, 0.9963, -0.0255)
(0.0872, 0.0082, 0.9958, -0.0272)
(0.0832, 0.0052, 0.9963, -0.0207)
(0.0776, 0.0024, 0.9968, -0.0196)
(0.0725, -0.0005, 0.9970, -0.0265)
(0.0690, -0.0018, 0.9974, -0.0209)
(0.0855, 0.0008, 0.9962, -0.0161)
(0.0773, -0.0003, 0.9969, -0.0128)
(0.0758, 0.0092, 0.9970, -0.0123)
(0.0756, 0.0027, 0.9971, -0.0114)
(0.0617, -0.0043, 0.9979, -0.0206)
(0.0567, -0.0076, 0.9981, -0.0222)
(0.0718, -0.0057, 0.9972, -0.0178)
(0.0451, -0.0117, 0.9985, -0.0296)
(0.0584, -0.0076, 0.9980, -0.0214)
(0.0589, -0.0089, 0.9979, -0.0242)
(0.0468, -0.0118, 0.9984, -0.0299)
(0.0602, -0.0037, 0.9978, -0.0259)
(0.0738, 0.0000, 0.9971, -0.0176)
(0.0616, -0.0027, 0.9976, -0.0330)
(0.0613, 0.0014, 0.9979, -0.0222)
(0.0632, 0.0015, 0.9974, -0.0334)
(0.0666, 0.0033, 0.9975, -0.0247)
(0.0610, 0.0007, 0.9980, -0.0181)
(0.0744, 0.0045, 0.9970, -0.0197)
(0.0702, 0.0025, 0.9974, -0.0174)
(0.0796, 0.0030, 0.9964, -0.0293)
(0.0813, 0.0024, 0.9960, -0.0361)
(0.0923, 0.0050, 0.9951, -0.0356)
(0.0934, 0.0179, 0.9949, -0.0321)
(0.0823, 0.0134, 0.9959, -0.0362)
(0.0989, 0.0231, 0.9943, -0.0329)
(0.0898, 0.0130, 0.9949, -0.0440)
(0.1000, 0.0083, 0.9942, -0.0387)
(0.0965, 0.0007, 0.9939, -0.0542)
(0.0929, -0.0022, 0.9945, -0.0475)
(0.0969, -0.0022, 0.9941, -0.0478)
(0.1255, 0.0134, 0.9920, -0.0069)
(0.0701, -0.0045, 0.9956, -0.0626)
(0.0970, 0.0131, 0.9939, -0.0510)
(0.0488, -0.0069, 0.9952, -0.0842)
(0.0468, -0.0216, 0.9973, -0.0518)
(-0.0322, -0.0361, 0.9952, -0.0853)
(-0.0202, -0.0148, 0.9990, -0.0373)
(-0.0538, -0.0408, 0.9968, -0.0431)
(-0.1060, -0.0622, 0.9863, -0.1100)
(-0.1132, -0.0514, 0.9844, -0.1247)
(-0.0456, -0.0483, 0.9957, -0.0649)
(-0.1013, -0.0627, 0.9825, -0.1435)
(-0.0812, -0.0462, 0.9869, -0.1314)
(-0.0731, -0.0464, 0.9887, -0.1224)
(-0.0660, -0.0348, 0.9894, -0.1248)
(-0.0664, -0.0327, 0.9881, -0.1351)
(-0.0689, -0.0298, 0.9861, -0.1480)
(-0.0886, -0.0356, 0.9799, -0.1751)
(-0.1201, -0.0418, 0.9711, -0.2019)
(-0.1288, -0.0248, 0.9701, -0.2044)
(-0.1025, 0.0073, 0.9726, -0.2086)
(-0.1065, 0.0404, 0.9751, -0.1903)
